Pe               V       Nsts   nu           nSupSteps  nsteps    ERRmax   Speedup
100             1.000000   5   1.000000e-01   5781    28905    0.058415      1.58 
100             1.000000   10   0              456    4560    Inf      0.00 
100             1.000000   10   1.000000e-06   456    4560    Inf      0.00 
100             1.000000   10   1.000000e-05   457    4570    Inf      0.00 
100             1.000000   10   1.000000e-04   462    4620    Inf      0.00 
100             1.000000   10   1.000000e-03   515    5150    Inf      0.00 
100             1.000000   10   1.000000e-02   945    9450    Inf      0.00 
100             1.000000   10   1.000000e-01   2882    28820    0.055535      1.58 
100             1.000000   20   0              114    2280    569103267662317313765984852859816449481334813136082183660280319347253226661603046968420909439074028970764862519396679128142318671633892497556806013248062647613730919216420275547110797353117156088290964889855427339069724690033999969811169280.000000      0.00 
100             1.000000   20   1.000000e-06   114    2280    520948331258463075798397208626736221059313304224158314194486761901033696070599093142303323122817305238196477665099035859794682069908347978426632999602561761024727543856152236908646137718908623120757958262667542071652418575892500979975716864.000000      0.00 
100             1.000000   20   1.000000e-05   115    2300    30038604039325978859361136194586403738976580064069083939567376662727293258052268064852490968895070812222927271323823335404687250041915214397515469802225761990743961761784147347231757619990118281848469270988957904671454418853329792921250037760.000000      0.00 
100             1.000000   20   1.000000e-04   120    2400    274323858997659106319443050244764283812821776667490429276174456227305856775645318898333215197003855678648603966063237490385847945369200557073576597141869574632662014264805029557829988278060361640994261603765784337944894422844885904560706664282456064.000000      0.00 
100             1.000000   20   1.000000e-03   170    3400    Inf      0.00 
100             1.000000   20   1.000000e-02   456    9120    Inf      0.00 
100             1.000000   20   1.000000e-01   1441    28820    0.055527      1.58 
100             1.000000   50   0              19    950    2226194360710759884964695786930610623270714027067966368418522112285741657666160438420309634104763875881648128.000000      0.00 
100             1.000000   50   1.000000e-06   19    950    2027102227582474223885877651102839529272607677253576299287629330365649442099551805588934230929255741010214912.000000      0.00 
100             1.000000   50   1.000000e-05   19    950    884430654702279454303128336135066758021022001623910237120642710524772697687369152352298830401338506381099008.000000      0.00 
100             1.000000   50   1.000000e-04   24    1200    2762108144498011326801870102194070210302414454014689087473593159278509885701079290369699073212920016821017290745176416915073905197056.000000      0.00 
